日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,5MA,10MA,20MA,rsv,k,d
112/08/21,15868611.0,559417513.0,35.0,35.45,35.0,35.4,+0.25,5684.0,,35.79,36.43,36.86,0.14545454545454495,0.11721224796432415,0.1668705895566698
112/08/22,12160131.0,430418837.0,35.55,35.55,35.3,35.4, 0.00,4794.0,,35.529999999999994,36.26,36.805,0.14545454545454495,0.12662634712773108,0.1534558420803569
112/08/23,13200442.0,467271842.0,35.5,35.55,35.3,35.3,-0.10,5863.0,,35.38,36.075,36.7,0.10909090909090806,0.12078120111545673,0.14256429509205684
112/08/24,14151716.0,499578948.0,35.2,35.45,35.2,35.3, 0.00,6414.0,,35.309999999999995,35.92,36.6025,0.11764705882352842,0.11973648701814729,0.13495502573408696
112/08/25,15173092.0,534353551.0,35.2,35.35,35.1,35.1,-0.20,7419.0,,35.3,35.69,36.489999999999995,0.05263157894736921,0.09736818432788792,0.12242607859868727
112/08/28,13704450.0,481506124.0,35.15,35.3,35.1,35.2,+0.10,5217.0,,35.260000000000005,35.525,36.3825,0.12500000000000167,0.10657878955192582,0.11714364891643345
112/08/29,22767239.0,766993767.0,35.2,35.45,35.2,35.4,+0.20,4392.0,,35.260000000000005,35.394999999999996,36.2875,0.38095238095238065,0.1980366533520774,0.14410798372831476
112/08/30,21263679.0,734792646.0,35.3,35.6,35.2,35.3,-0.10,7713.0,,35.26,35.32,36.175,0.3749999999999978,0.2570244355680509,0.1817468010082268
112/08/31,38519368.0,1349792371.0,35.35,35.35,34.95,34.95,-0.35,10593.0,,35.190000000000005,35.25,36.0625,0.0,0.1713496237120339,0.17828107524282916
112/09/01,19428367.0,682532551.0,35.1,35.45,35.0,35.25,+0.30,7631.0,,35.220000000000006,35.260000000000005,35.957499999999996,0.4615384615384582,0.26807923632084196,0.20821379560216674
112/09/04,20229190.0,710516397.0,35.15,35.25,34.9,35.2,-0.05,9657.0,,35.22,35.239999999999995,35.835,0.42857142857143293,0.3215766337377056,0.24600140831401301
112/09/05,36456336.0,1226669232.0,35.15,35.25,35.0,35.0,-0.20,12172.0,,35.14,35.2,35.730000000000004,0.14285714285714432,0.26200347011085184,0.2513354289129593
112/09/06,39906142.0,1376204832.0,34.9,34.95,34.35,34.4,-0.60,30576.0,,34.96,35.11,35.5925,0.039999999999997725,0.1880023134072338,0.23022439041105078
112/09/07,21981134.0,755231324.0,34.4,34.55,34.2,34.35,-0.05,10585.0,,34.839999999999996,35.015,35.4675,0.10714285714285623,0.16104916131910796,0.2071659807137365
112/09/08,21838198.0,746950035.0,34.3,34.35,34.05,34.1,-0.25,13463.0,,34.61,34.915000000000006,35.302499999999995,0.032258064516131696,0.11811879571811587,0.1774835857151963
112/09/11,17824696.0,608196053.0,34.1,34.2,34.05,34.2,+0.10,7786.0,,34.410000000000004,34.815000000000005,35.17,0.0967741935483905,0.11100392832820741,0.15532369991953332
112/09/12,17792157.0,612107352.0,34.3,34.65,34.3,34.6,+0.40,6043.0,,34.33,34.735,35.065000000000005,0.3928571428571443,0.20495499983785304,0.17186746655897323
112/09/13,28278131.0,990254465.0,34.85,35.3,34.85,35.3,+0.70,10998.0,,34.510000000000005,34.735,35.027499999999996,0.8928571428571392,0.4342557141776151,0.25933021576518717
112/09/14,18247932.0,645339783.0,35.4,35.5,35.3,35.5,+0.20,6450.0,,34.74,34.79,35.019999999999996,1.0,0.6228371427850767,0.38049919143848365
112/09/15,19736935.0,696124709.0,35.3,35.35,35.05,35.1,-0.40,5474.0,,34.940000000000005,34.775,35.0175,0.7241379310344843,0.6566040722015459,0.47253415169283774
112/09/18,15558263.0,545619542.0,35.1,35.2,35.0,35.1, 0.00,6491.0,,35.12,34.765,35.002500000000005,0.7241379310344843,0.679115358479192,0.5413945539549558
